policy,workload,n_pods,seed,scheduled,unscheduled,alloc_ratio_cpu,alloc_ratio_gpu,alloc_ratio_milli_gpu,frag_ratio,elapsed_sec,frag_pct_q1_lack_both,frag_pct_q2_lack_gpu,frag_pct_q3_satisfied,frag_pct_q4_lack_cpu,frag_pct_xl_satisfied,frag_pct_xr_lack_cpu,frag_pct_no_access
random,openb_pod_list_gpushare100.csv,20,0,20,0,0.07498101265822787,0.10867346938775513,0.10867346938775513,0.05723217823961957,0.037583112716674805,0.0,5.723217823961956,94.27678217603804,0.0,0.0,0.0,0.0
fgd,openb_pod_list_gpushare100.csv,20,0,20,0,0.07498101265822787,0.10867346938775513,0.10867346938775513,0.026903262736119066,0.11178278923034668,0.0,2.6903262736119067,97.30967372638808,0.0,0.0,0.0,0.0
best-fit,openb_pod_list_gpushare100.csv,20,0,20,0,0.07498101265822787,0.10867346938775513,0.10867346938775513,0.026903262736119062,0.035385847091674805,0.0,2.6903262736119062,97.30967372638808,0.0,0.0,0.0,0.0
